method,ready_both,ready_baseline_only,ready_candidate_only,ready_neither,ready_mcnemar_p,schema_both_correct,schema_baseline_only_correct,schema_candidate_only_correct,schema_both_wrong,schema_mcnemar_p
selective_k3_margin0.075_R4_verified_cov_type_tfidf,257,0,8,66,0.0078125,296,5,3,27,0.7265625
selective_k3_margin0.075_R5_small_consistency_score,257,0,7,67,0.015625,301,0,3,27,0.25
selective_k3_margin0.1_R3_ready_cov_type_tfidf,257,0,9,65,0.00390625,299,2,4,26,0.6875
selective_k3_margin0.1_R4_verified_cov_type_tfidf,257,0,9,65,0.00390625,295,6,4,26,0.75390625
selective_k3_margin0.1_R5_small_consistency_score,257,0,7,67,0.015625,301,0,3,27,0.25
selective_k5_margin0.01_R3_ready_cov_type_tfidf,257,0,1,73,1.0,300,1,0,30,1.0
selective_k5_margin0.01_R4_verified_cov_type_tfidf,257,0,1,73,1.0,300,1,0,30,1.0
selective_k5_margin0.01_R5_small_consistency_score,257,0,1,73,1.0,301,0,0,30,1.0
selective_k5_margin0.02_R3_ready_cov_type_tfidf,257,0,6,68,0.03125,299,2,2,28,1.0
selective_k5_margin0.02_R4_verified_cov_type_tfidf,257,0,6,68,0.03125,299,2,2,28,1.0
selective_k5_margin0.02_R5_small_consistency_score,257,0,5,69,0.0625,301,0,2,28,0.5
selective_k5_margin0.03_R3_ready_cov_type_tfidf,257,0,7,67,0.015625,299,2,2,28,1.0
selective_k5_margin0.03_R4_verified_cov_type_tfidf,257,0,7,67,0.015625,299,2,2,28,1.0
selective_k5_margin0.03_R5_small_consistency_score,257,0,6,68,0.03125,301,0,2,28,0.5
selective_k5_margin0.05_R3_ready_cov_type_tfidf,257,0,9,65,0.00390625,298,3,2,28,1.0
selective_k5_margin0.05_R4_verified_cov_type_tfidf,257,0,9,65,0.00390625,298,3,2,28,1.0
selective_k5_margin0.05_R5_small_consistency_score,257,0,8,66,0.0078125,301,0,2,28,0.5
selective_k5_margin0.075_R3_ready_cov_type_tfidf,257,0,11,63,0.0009765625,298,3,4,26,1.0
selective_k5_margin0.075_R4_verified_cov_type_tfidf,257,0,11,63,0.0009765625,295,6,4,26,0.75390625
selective_k5_margin0.075_R5_small_consistency_score,257,0,9,65,0.00390625,301,0,3,27,0.25
selective_k5_margin0.1_R3_ready_cov_type_tfidf,257,0,12,62,0.00048828125,298,3,5,25,0.7265625
selective_k5_margin0.1_R4_verified_cov_type_tfidf,257,0,12,62,0.00048828125,294,7,5,25,0.7744140625
selective_k5_margin0.1_R5_small_consistency_score,257,0,10,64,0.001953125,301,0,4,26,0.125
