problem_id,gold_schema,tfidf_top1_schema,topk_schemas,topk_scores,top1_top2_margin,gold_rank,gold_in_top2,gold_in_top3,gold_in_top5,gold_in_top10,query_length,lexical_overlap_gold,lexical_overlap_top1,pred_ready,pred_coverage,pred_type_match,gold_ready_if_top10,gold_coverage_if_top10,gold_type_match_if_top10,classification
nlp4lp_test_194,nlp4lp_test_194,nlp4lp_test_259,"[""nlp4lp_test_259"", ""nlp4lp_test_32"", ""diet_lp"", ""nlp4lp_test_231"", ""nlp4lp_test_120"", ""nlp4lp_test_7"", ""nlp4lp_test_116"", ""nlp4lp_test_130"", ""nlp4lp_test_15"", ""nlp4lp_test_194""]","[0.4005300225790196, 0.37739735714041933, 0.35327478838651954, 0.30967654043788917, 0.3022137599666093, 0.23199775596177732, 0.22569834467028657, 0.20292535811910284, 0.19799852891902017, 0.19296474733943483]",0.023132665438600264,10,0,0,0,1,92,0.11764705882352941,0.11392405063291139,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_201,nlp4lp_test_201,nlp4lp_test_193,"[""nlp4lp_test_193"", ""nlp4lp_test_201"", ""nlp4lp_test_197"", ""nlp4lp_test_132"", ""nlp4lp_test_198"", ""nlp4lp_test_219"", ""nlp4lp_test_53"", ""nlp4lp_test_122"", ""nlp4lp_test_24"", ""nlp4lp_test_35""]","[0.5018603514156215, 0.34684955123951833, 0.2799695236562457, 0.26263321434972914, 0.24301155388672857, 0.2322340398830775, 0.20609405719126656, 0.17974279067710433, 0.17590872642269947, 0.16259123187505448]",0.15501080017610314,2,1,1,1,1,90,0.2459016393442623,0.23809523809523808,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_222,nlp4lp_test_222,nlp4lp_test_214,"[""nlp4lp_test_214"", ""nlp4lp_test_222"", ""nlp4lp_test_40"", ""nlp4lp_test_146"", ""nlp4lp_test_218"", ""nlp4lp_test_28"", ""nlp4lp_test_238"", ""nlp4lp_test_50"", ""nlp4lp_test_267"", ""nlp4lp_test_80""]","[0.3999730981702935, 0.3849774811082778, 0.20932356034216737, 0.17681547421179813, 0.17135707568056266, 0.16519335003729035, 0.1501251731405012, 0.14639555609167637, 0.13672397400461112, 0.135566879482444]",0.014995617062015687,2,1,1,1,1,140,0.22448979591836735,0.1875,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_234,nlp4lp_test_234,nlp4lp_test_185,"[""nlp4lp_test_185"", ""nlp4lp_test_140"", ""nlp4lp_test_234"", ""nlp4lp_test_152"", ""nlp4lp_test_155"", ""nlp4lp_test_182"", ""nlp4lp_test_165"", ""nlp4lp_test_267"", ""nlp4lp_test_67"", ""nlp4lp_test_150""]","[0.31172517151077583, 0.22838723939946395, 0.21058074131662746, 0.18699369314671083, 0.17622137835124885, 0.16544977327695656, 0.16219807752823576, 0.1423711159449664, 0.1403802558277335, 0.13996840083686632]",0.08333793211131188,3,0,1,1,1,105,0.1774193548387097,0.22388059701492538,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_246,nlp4lp_test_246,nlp4lp_test_63,"[""nlp4lp_test_63"", ""nlp4lp_test_246"", ""nlp4lp_test_313"", ""nlp4lp_test_273"", ""nlp4lp_test_134"", ""nlp4lp_test_121"", ""nlp4lp_test_275"", ""nlp4lp_test_91"", ""nlp4lp_test_53"", ""nlp4lp_test_111""]","[0.446052067782018, 0.3786231201975117, 0.16860833731441408, 0.162995105770157, 0.15065586451760848, 0.14838593328130528, 0.14233691886041816, 0.1373357147974224, 0.1367088931381815, 0.1366228263173408]",0.0674289475845063,2,1,1,1,1,125,0.2564102564102564,0.19230769230769232,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_247,nlp4lp_test_247,nlp4lp_test_233,"[""nlp4lp_test_233"", ""nlp4lp_test_134"", ""nlp4lp_test_111"", ""nlp4lp_test_42"", ""nlp4lp_test_53"", ""nlp4lp_test_255"", ""nlp4lp_test_152"", ""nlp4lp_test_63"", ""nlp4lp_test_275"", ""nlp4lp_test_182""]","[0.3689992872752381, 0.3542426534439644, 0.3347267751679456, 0.3073481439557206, 0.27890915058932686, 0.2770682487444669, 0.24385369165726034, 0.24084011006466732, 0.24077557850558193, 0.2402281770215066]",0.014756633831273736,81,0,0,0,0,93,0.12280701754385964,0.1388888888888889,0,0.0,0.0,,,,C_GOLD_NOT_IN_TOP10
nlp4lp_test_268,nlp4lp_test_268,nlp4lp_test_28,"[""nlp4lp_test_28"", ""nlp4lp_test_268"", ""nlp4lp_test_52"", ""nlp4lp_test_255"", ""nlp4lp_test_275"", ""nlp4lp_test_260"", ""nlp4lp_test_93"", ""nlp4lp_test_244"", ""nlp4lp_test_45"", ""nlp4lp_test_53""]","[0.4084645256383735, 0.39212046515342264, 0.35777264006156917, 0.2005280749964849, 0.18462608781717255, 0.1583352873380954, 0.15141497418172056, 0.13797726507716823, 0.13681608386344707, 0.13552409608375904]",0.01634406048495085,2,1,1,1,1,126,0.24390243902439024,0.11827956989247312,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_283,nlp4lp_test_283,nlp4lp_test_284,"[""nlp4lp_test_284"", ""nlp4lp_test_283"", ""nlp4lp_test_25"", ""nlp4lp_test_321"", ""nlp4lp_test_285"", ""nlp4lp_test_330"", ""nlp4lp_test_310"", ""nlp4lp_test_278"", ""nlp4lp_test_199"", ""nlp4lp_test_146""]","[0.34372355813042055, 0.3353031737009551, 0.25242259686831203, 0.2291285549661999, 0.18828182636647295, 0.1863712892442487, 0.1817885202439902, 0.17829120272398377, 0.1722425881714053, 0.16802482349550849]",0.008420384429465466,2,1,1,1,1,412,0.26666666666666666,0.24647887323943662,0,0.0,0.0,0,0.0,0.0,B_RETRIEVAL_FIX_BUT_GROUNDING_STILL_FAILS
nlp4lp_test_286,nlp4lp_test_286,nlp4lp_test_285,"[""nlp4lp_test_285"", ""nlp4lp_test_321"", ""nlp4lp_test_310"", ""nlp4lp_test_286"", ""nlp4lp_test_330"", ""nlp4lp_test_189"", ""nlp4lp_test_196"", ""nlp4lp_test_293"", ""nlp4lp_test_284"", ""nlp4lp_test_325""]","[0.34277361448597404, 0.31388175492602205, 0.23660289968863943, 0.23502926625729686, 0.23474868408991562, 0.23360276386027376, 0.23044468971297877, 0.2261401350976716, 0.22434764800099005, 0.21856054490396604]",0.028891859559951993,4,0,0,1,1,371,0.2923076923076923,0.31496062992125984,1,1.0,1.0,0,0.6666666666666666,1.0,B_RETRIEVAL_FIX_BUT_GROUNDING_STILL_FAILS
nlp4lp_test_287,nlp4lp_test_287,nlp4lp_test_293,"[""nlp4lp_test_293"", ""nlp4lp_test_287"", ""nlp4lp_test_321"", ""nlp4lp_test_288"", ""nlp4lp_test_330"", ""nlp4lp_test_189"", ""nlp4lp_test_278"", ""nlp4lp_test_292"", ""nlp4lp_test_291"", ""nlp4lp_test_284""]","[0.33868539190157226, 0.25999771654577936, 0.23631628562022872, 0.22572244555300625, 0.215847598299472, 0.19487391860878894, 0.1895635970959762, 0.18047471517113006, 0.17986989554414495, 0.1747835643855992]",0.07868767535579291,2,1,1,1,1,470,0.2606060606060606,0.10240963855421686,1,1.0,1.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_288,nlp4lp_test_288,nlp4lp_test_293,"[""nlp4lp_test_293"", ""nlp4lp_test_287"", ""nlp4lp_test_321"", ""nlp4lp_test_288"", ""nlp4lp_test_330"", ""nlp4lp_test_189"", ""nlp4lp_test_278"", ""nlp4lp_test_292"", ""nlp4lp_test_291"", ""nlp4lp_test_284""]","[0.33815033733821726, 0.2576624178350719, 0.23647563551357434, 0.22961422584994673, 0.2148040228645326, 0.19369011274213466, 0.18904742521591272, 0.18015271589528292, 0.17940524743585168, 0.17499036178556818]",0.08048791950314538,4,0,0,1,1,466,0.24705882352941178,0.10303030303030303,1,1.0,1.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_290,nlp4lp_test_290,nlp4lp_test_293,"[""nlp4lp_test_293"", ""nlp4lp_test_289"", ""nlp4lp_test_189"", ""nlp4lp_test_330"", ""nlp4lp_test_10"", ""nlp4lp_test_175"", ""nlp4lp_test_152"", ""nlp4lp_test_282"", ""nlp4lp_test_54"", ""nlp4lp_test_38""]","[0.2014610606843567, 0.15812289713209393, 0.1378125804032209, 0.13652664748717866, 0.12862728804671958, 0.11633802616628384, 0.11285220963827873, 0.11155929934962382, 0.10991421781960305, 0.10828138506084946]",0.043338163552262776,102,0,0,0,0,680,0.06726457399103139,0.0821256038647343,0,0.0,0.0,,,,C_GOLD_NOT_IN_TOP10
nlp4lp_test_291,nlp4lp_test_291,nlp4lp_test_293,"[""nlp4lp_test_293"", ""nlp4lp_test_321"", ""nlp4lp_test_291"", ""nlp4lp_test_330"", ""nlp4lp_test_278"", ""nlp4lp_test_284"", ""nlp4lp_test_292"", ""nlp4lp_test_289"", ""nlp4lp_test_189"", ""nlp4lp_test_10""]","[0.36016355174417786, 0.29303931995123406, 0.2557290948759122, 0.23649733997713712, 0.20796894211494668, 0.20144985499747783, 0.18684661975835815, 0.16878876973865686, 0.16719879934193027, 0.15959811995308826]",0.0671242317929438,3,0,1,1,1,378,0.23636363636363636,0.22935779816513763,1,1.0,1.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_292,nlp4lp_test_292,nlp4lp_test_293,"[""nlp4lp_test_293"", ""nlp4lp_test_321"", ""nlp4lp_test_291"", ""nlp4lp_test_330"", ""nlp4lp_test_278"", ""nlp4lp_test_292"", ""nlp4lp_test_284"", ""nlp4lp_test_189"", ""nlp4lp_test_289"", ""nlp4lp_test_285""]","[0.356070297848687, 0.31106402510076386, 0.24941262386515403, 0.24522425121398966, 0.22091656237396684, 0.21397644487672574, 0.21301643263733855, 0.16841956590880797, 0.16736142650612418, 0.16025999444200412]",0.045006272747923126,6,0,0,0,1,348,0.19607843137254902,0.22330097087378642,1,1.0,1.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_299,nlp4lp_test_299,nlp4lp_test_321,"[""nlp4lp_test_321"", ""nlp4lp_test_330"", ""nlp4lp_test_285"", ""nlp4lp_test_293"", ""nlp4lp_test_278"", ""nlp4lp_test_299"", ""nlp4lp_test_189"", ""nlp4lp_test_281"", ""nlp4lp_test_284"", ""nlp4lp_test_280""]","[0.3023337204672922, 0.2551620494865375, 0.25344307029001023, 0.2317268522365637, 0.22926265646079588, 0.22019047894838187, 0.19320329935442446, 0.17500691341736696, 0.17230262302041635, 0.17108390544762156]",0.0471716709807547,6,0,0,0,1,125,0.352112676056338,0.2077922077922078,1,1.0,1.0,0,0.5,1.0,B_RETRIEVAL_FIX_BUT_GROUNDING_STILL_FAILS
nlp4lp_test_311,nlp4lp_test_311,nlp4lp_test_321,"[""nlp4lp_test_321"", ""nlp4lp_test_325"", ""nlp4lp_test_311"", ""nlp4lp_test_322"", ""nlp4lp_test_316"", ""nlp4lp_test_317"", ""nlp4lp_test_189"", ""nlp4lp_test_330"", ""nlp4lp_test_304"", ""nlp4lp_test_278""]","[0.33946579687722084, 0.33121961119131405, 0.2983701193676741, 0.28809669775656715, 0.27932345694984145, 0.2300991639224615, 0.19595373011329173, 0.19407062466795535, 0.17126367049607444, 0.13663564733145764]",0.008246185685906793,3,0,1,1,1,196,0.3411764705882353,0.4246575342465753,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_316,nlp4lp_test_316,nlp4lp_test_325,"[""nlp4lp_test_325"", ""nlp4lp_test_321"", ""nlp4lp_test_322"", ""nlp4lp_test_311"", ""nlp4lp_test_316"", ""nlp4lp_test_317"", ""nlp4lp_test_189"", ""nlp4lp_test_330"", ""nlp4lp_test_304"", ""nlp4lp_test_196""]","[0.31322902300723143, 0.3021286012003126, 0.293419708299128, 0.2865782177336048, 0.26527438329719266, 0.23232628067374256, 0.18671101783930993, 0.17406441689480628, 0.15683866260381377, 0.15282243386094838]",0.011100421806918837,5,0,0,1,1,218,0.35,0.367816091954023,1,1.0,1.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_317,nlp4lp_test_317,nlp4lp_test_321,"[""nlp4lp_test_321"", ""nlp4lp_test_325"", ""nlp4lp_test_322"", ""nlp4lp_test_311"", ""nlp4lp_test_316"", ""nlp4lp_test_317"", ""nlp4lp_test_189"", ""nlp4lp_test_330"", ""nlp4lp_test_285"", ""nlp4lp_test_304""]","[0.30886668904204595, 0.2929729701942627, 0.2790738087328891, 0.2562780605758194, 0.22371953284513502, 0.2081229694089359, 0.19118818505145918, 0.1895426226539229, 0.15221515215056322, 0.14733485594174225]",0.015893718847783234,6,0,0,0,1,255,0.29411764705882354,0.38271604938271603,0,0.0,0.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_318,nlp4lp_test_318,nlp4lp_test_312,"[""nlp4lp_test_312"", ""nlp4lp_test_318"", ""nlp4lp_test_330"", ""nlp4lp_test_321"", ""nlp4lp_test_278"", ""nlp4lp_test_2"", ""nlp4lp_test_25"", ""nlp4lp_test_287"", ""nlp4lp_test_148"", ""nlp4lp_test_320""]","[0.4881980747177854, 0.4286993091123945, 0.1423335226979502, 0.13379634068971763, 0.11640627336867945, 0.10579009464048782, 0.10225362336230301, 0.10042538243279235, 0.09695658574870268, 0.08711349813633502]",0.05949876560539091,2,1,1,1,1,256,0.3118279569892473,0.2897196261682243,1,1.0,1.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
nlp4lp_test_322,nlp4lp_test_322,nlp4lp_test_321,"[""nlp4lp_test_321"", ""nlp4lp_test_322"", ""nlp4lp_test_325"", ""nlp4lp_test_311"", ""nlp4lp_test_316"", ""nlp4lp_test_317"", ""nlp4lp_test_330"", ""nlp4lp_test_189"", ""nlp4lp_test_304"", ""nlp4lp_test_285""]","[0.34067187341997274, 0.2822723995502161, 0.2780027260108711, 0.24692435152519784, 0.2279139207590701, 0.20379132416268478, 0.17516603053725358, 0.1688249813067058, 0.1456927160590161, 0.13074112274542665]",0.058399473869756635,2,1,1,1,1,257,0.34579439252336447,0.30303030303030304,1,1.0,1.0,1,1.0,1.0,A_RETRIEVAL_FIX_RESCUES_READY
