family,query_id,schema_name,retrieval_correct,grounding_mode,param_coverage,type_match,key_overlap,instantiation_approx,error_type
Blending / Diet / Feed Mix,nlp4lp_test_231,nlp4lp_test_231,1,semantic_ir_repair,1.000,0.500,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_259,nlp4lp_test_259,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_259,nlp4lp_test_259,1,constrained,1.000,0.833,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_259,nlp4lp_test_259,1,opt_role_repair,1.000,0.833,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_259,nlp4lp_test_259,1,global_compat_full,1.000,0.833,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_259,nlp4lp_test_259,1,semantic_ir_repair,1.000,0.833,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_264,nlp4lp_test_264,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_264,nlp4lp_test_264,1,constrained,1.000,0.800,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_264,nlp4lp_test_264,1,opt_role_repair,0.800,0.750,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_264,nlp4lp_test_264,1,global_compat_full,0.800,0.750,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_264,nlp4lp_test_264,1,semantic_ir_repair,0.800,0.750,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_265,nlp4lp_test_265,1,tfidf_greedy,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_265,nlp4lp_test_265,1,constrained,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_265,nlp4lp_test_265,1,opt_role_repair,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_265,nlp4lp_test_265,1,global_compat_full,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_265,nlp4lp_test_265,1,semantic_ir_repair,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_271,nlp4lp_test_271,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_271,nlp4lp_test_271,1,constrained,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_271,nlp4lp_test_271,1,opt_role_repair,0.600,1.000,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_271,nlp4lp_test_271,1,global_compat_full,0.600,1.000,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_271,nlp4lp_test_271,1,semantic_ir_repair,0.600,1.000,1.000,0,none
Blending / Diet / Feed Mix,nlp4lp_test_301,nlp4lp_test_301,1,tfidf_greedy,0.000,0.000,1.000,0,low_param_coverage
Blending / Diet / Feed Mix,nlp4lp_test_301,nlp4lp_test_301,1,constrained,0.000,0.000,1.000,0,low_param_coverage
Blending / Diet / Feed Mix,nlp4lp_test_301,nlp4lp_test_301,1,opt_role_repair,0.000,0.000,1.000,0,low_param_coverage
Blending / Diet / Feed Mix,nlp4lp_test_301,nlp4lp_test_301,1,global_compat_full,0.000,0.000,1.000,0,low_param_coverage
Blending / Diet / Feed Mix,nlp4lp_test_301,nlp4lp_test_301,1,semantic_ir_repair,0.000,0.000,1.000,0,low_param_coverage
Blending / Diet / Feed Mix,nlp4lp_test_32,nlp4lp_test_32,1,tfidf_greedy,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_32,nlp4lp_test_32,1,constrained,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_32,nlp4lp_test_32,1,opt_role_repair,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_32,nlp4lp_test_32,1,global_compat_full,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_32,nlp4lp_test_32,1,semantic_ir_repair,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_7,nlp4lp_test_7,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_7,nlp4lp_test_7,1,constrained,1.000,0.875,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_7,nlp4lp_test_7,1,opt_role_repair,1.000,0.750,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_7,nlp4lp_test_7,1,global_compat_full,1.000,0.750,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_7,nlp4lp_test_7,1,semantic_ir_repair,1.000,0.750,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_90,nlp4lp_test_90,1,tfidf_greedy,1.000,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_90,nlp4lp_test_90,1,constrained,1.000,0.889,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_90,nlp4lp_test_90,1,opt_role_repair,1.000,0.889,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_90,nlp4lp_test_90,1,global_compat_full,1.000,0.889,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_90,nlp4lp_test_90,1,semantic_ir_repair,1.000,0.889,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_93,nlp4lp_test_93,1,tfidf_greedy,1.000,0.857,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_93,nlp4lp_test_93,1,constrained,1.000,0.857,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_93,nlp4lp_test_93,1,opt_role_repair,1.000,0.857,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_93,nlp4lp_test_93,1,global_compat_full,1.000,0.857,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_93,nlp4lp_test_93,1,semantic_ir_repair,1.000,0.857,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_94,nlp4lp_test_94,1,tfidf_greedy,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_94,nlp4lp_test_94,1,constrained,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_94,nlp4lp_test_94,1,opt_role_repair,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_94,nlp4lp_test_94,1,global_compat_full,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_94,nlp4lp_test_94,1,semantic_ir_repair,0.800,1.000,1.000,1,none
Blending / Diet / Feed Mix,nlp4lp_test_96,nlp4lp_test_96,0,tfidf_greedy,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_96,nlp4lp_test_96,0,constrained,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_96,nlp4lp_test_96,0,opt_role_repair,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_96,nlp4lp_test_96,0,global_compat_full,0.000,0.000,0.000,0,retrieval_miss
Blending / Diet / Feed Mix,nlp4lp_test_96,nlp4lp_test_96,0,semantic_ir_repair,0.000,0.000,0.000,0,retrieval_miss
Cutting / Trim / Cable,nlp4lp_test_257,nlp4lp_test_257,1,tfidf_greedy,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_257,nlp4lp_test_257,1,constrained,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_257,nlp4lp_test_257,1,opt_role_repair,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_257,nlp4lp_test_257,1,global_compat_full,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_257,nlp4lp_test_257,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_278,nlp4lp_test_278,1,tfidf_greedy,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_278,nlp4lp_test_278,1,constrained,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_278,nlp4lp_test_278,1,opt_role_repair,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_278,nlp4lp_test_278,1,global_compat_full,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_278,nlp4lp_test_278,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_42,nlp4lp_test_42,1,tfidf_greedy,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_42,nlp4lp_test_42,1,constrained,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_42,nlp4lp_test_42,1,opt_role_repair,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_42,nlp4lp_test_42,1,global_compat_full,1.000,1.000,1.000,1,none
Cutting / Trim / Cable,nlp4lp_test_42,nlp4lp_test_42,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Diet / Nutrition,nlp4lp_test_126,nlp4lp_test_126,1,tfidf_greedy,1.000,1.000,1.000,1,none
Diet / Nutrition,nlp4lp_test_126,nlp4lp_test_126,1,constrained,1.000,1.000,1.000,1,none
Diet / Nutrition,nlp4lp_test_126,nlp4lp_test_126,1,opt_role_repair,1.000,1.000,1.000,1,none
Diet / Nutrition,nlp4lp_test_126,nlp4lp_test_126,1,global_compat_full,1.000,1.000,1.000,1,none
Diet / Nutrition,nlp4lp_test_126,nlp4lp_test_126,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Diet / Nutrition,nlp4lp_test_219,nlp4lp_test_219,1,tfidf_greedy,1.000,1.000,1.000,1,none
Diet / Nutrition,nlp4lp_test_219,nlp4lp_test_219,1,constrained,1.000,1.000,1.000,1,none
Diet / Nutrition,nlp4lp_test_219,nlp4lp_test_219,1,opt_role_repair,1.000,1.000,1.000,1,none
Diet / Nutrition,nlp4lp_test_219,nlp4lp_test_219,1,global_compat_full,1.000,1.000,1.000,1,none
Diet / Nutrition,nlp4lp_test_219,nlp4lp_test_219,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Energy / Environment,nlp4lp_test_218,nlp4lp_test_218,1,tfidf_greedy,1.000,0.875,1.000,1,none
Energy / Environment,nlp4lp_test_218,nlp4lp_test_218,1,constrained,1.000,0.875,1.000,1,none
Energy / Environment,nlp4lp_test_218,nlp4lp_test_218,1,opt_role_repair,1.000,0.875,1.000,1,none
Energy / Environment,nlp4lp_test_218,nlp4lp_test_218,1,global_compat_full,1.000,0.875,1.000,1,none
Energy / Environment,nlp4lp_test_218,nlp4lp_test_218,1,semantic_ir_repair,1.000,0.875,1.000,1,none
Energy / Environment,nlp4lp_test_235,nlp4lp_test_235,1,tfidf_greedy,1.000,1.000,1.000,1,none
Energy / Environment,nlp4lp_test_235,nlp4lp_test_235,1,constrained,1.000,0.750,1.000,1,none
Energy / Environment,nlp4lp_test_235,nlp4lp_test_235,1,opt_role_repair,1.000,1.000,1.000,1,none
Energy / Environment,nlp4lp_test_235,nlp4lp_test_235,1,global_compat_full,1.000,1.000,1.000,1,none
Energy / Environment,nlp4lp_test_235,nlp4lp_test_235,1,semantic_ir_repair,1.000,1.000,1.000,1,none
Energy / Environment,nlp4lp_test_244,nlp4lp_test_244,1,tfidf_greedy,1.000,0.714,1.000,1,none
Energy / Environment,nlp4lp_test_244,nlp4lp_test_244,1,constrained,0.714,1.000,1.000,0,none
Energy / Environment,nlp4lp_test_244,nlp4lp_test_244,1,opt_role_repair,1.000,0.714,1.000,1,none
Energy / Environment,nlp4lp_test_244,nlp4lp_test_244,1,global_compat_full,0.857,0.833,1.000,1,none
Energy / Environment,nlp4lp_test_244,nlp4lp_test_244,1,semantic_ir_repair,0.714,1.000,1.000,0,none
Energy / Environment,nlp4lp_test_246,nlp4lp_test_246,0,tfidf_greedy,0.000,0.000,0.000,0,retrieval_miss
Energy / Environment,nlp4lp_test_246,nlp4lp_test_246,0,constrained,0.000,0.000,0.000,0,retrieval_miss
Energy / Environment,nlp4lp_test_246,nlp4lp_test_246,0,opt_role_repair,0.000,0.000,0.000,0,retrieval_miss
Energy / Environment,nlp4lp_test_246,nlp4lp_test_246,0,global_compat_full,0.000,0.000,0.000,0,retrieval_miss
Energy / Environment,nlp4lp_test_246,nlp4lp_test_246,0,semantic_ir_repair,0.000,0.000,0.000,0,retrieval_miss
Energy / Environment,nlp4lp_test_298,nlp4lp_test_298,1,tfidf_greedy,0.000,0.000,1.000,0,low_param_coverage
Energy / Environment,nlp4lp_test_298,nlp4lp_test_298,1,constrained,0.000,0.000,1.000,0,low_param_coverage
Energy / Environment,nlp4lp_test_298,nlp4lp_test_298,1,opt_role_repair,0.000,0.000,1.000,0,low_param_coverage
Energy / Environment,nlp4lp_test_298,nlp4lp_test_298,1,global_compat_full,0.000,0.000,1.000,0,low_param_coverage
Energy / Environment,nlp4lp_test_298,nlp4lp_test_298,1,semantic_ir_repair,0.000,0.000,1.000,0,low_param_coverage
Energy / Environment,nlp4lp_test_50,nlp4lp_test_50,1,tfidf_greedy,1.000,0.875,1.000,1,none
Energy / Environment,nlp4lp_test_50,nlp4lp_test_50,1,constrained,1.000,0.875,1.000,1,none
Energy / Environment,nlp4lp_test_50,nlp4lp_test_50,1,opt_role_repair,1.000,0.875,1.000,1,none
Energy / Environment,nlp4lp_test_50,nlp4lp_test_50,1,global_compat_full,1.000,0.875,1.000,1,none
Energy / Environment,nlp4lp_test_50,nlp4lp_test_50,1,semantic_ir_repair,1.000,0.875,1.000,1,none
Energy / Environment,nlp4lp_test_60,nlp4lp_test_60,1,tfidf_greedy,1.000,0.750,1.000,1,none
Energy / Environment,nlp4lp_test_60,nlp4lp_test_60,1,constrained,0.750,0.667,1.000,0,none
Energy / Environment,nlp4lp_test_60,nlp4lp_test_60,1,opt_role_repair,1.000,0.500,1.000,0,none
Energy / Environment,nlp4lp_test_60,nlp4lp_test_60,1,global_compat_full,0.875,0.571,1.000,0,none
Energy / Environment,nlp4lp_test_60,nlp4lp_test_60,1,semantic_ir_repair,0.750,0.667,1.000,0,none
Energy / Environment,nlp4lp_test_70,nlp4lp_test_70,1,tfidf_greedy,1.000,0.750,1.000,1,none
