problem_id,gold_schema,predicted_schema,expected_scalar_slots,expected_scalar_count,extracted_numeric_mentions,filled_slots,unfilled_slots,type_compatible_fills,incompatible_fills,incompatible_slots,coverage,type_match,ordinary_ready,exact5,exact20,root_causes
nlp4lp_test_97,nlp4lp_test_97,nlp4lp_test_97,MedicinalIngredientPerRegularBatch RehydrationProductPerRegularBatch MedicinalIngredientPerPremiumBatch RehydrationProductPerPremiumBatch TotalMedicinalIngredients TotalRehydrationProduct MinRegularBatches PeopleTreatedPerRegularBatch PeopleTreatedPerPremiumBatch,9,22:50:50.0:int | 28:40:40.0:int | 37:40:40.0:int | 43:60:60.0:int | 52:3000:3000.0:int | 58:3500:3500.0:int | 91:10:10.0:int | 100:50:50.0:int | 108:30:30.0:int,MedicinalIngredientPerRegularBatch RehydrationProductPerRegularBatch MedicinalIngredientPerPremiumBatch RehydrationProductPerPremiumBatch TotalMedicinalIngredients TotalRehydrationProduct MinRegularBatches PeopleTreatedPerRegularBatch PeopleTreatedPerPremiumBatch,,6,3,RehydrationProductPerRegularBatch RehydrationProductPerPremiumBatch TotalRehydrationProduct,1.0,0.6666666666666666,0,0.0,0.1111111111111111,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_98,nlp4lp_test_98,nlp4lp_test_98,AutomaticMachineTimePerPatient ManualMachineTimePerPatient ManualPatientMinRatio AutomaticMachineMinimumPatients TotalAvailableTime,5,19:10:10.0:int | 28:15:15.0:int | 61:20:20.0:int | 76:20000:20000.0:int,AutomaticMachineTimePerPatient ManualMachineTimePerPatient ManualPatientMinRatio AutomaticMachineMinimumPatients,TotalAvailableTime,3,1,ManualPatientMinRatio,0.8,0.75,0,0.25,0.25,DUPLICATE_REUSE_REQUIREMENT NUMBER_NOT_EXTRACTED
nlp4lp_test_101,nlp4lp_test_101,nlp4lp_test_101,NumDemonstrations TotalMintAvailable TotalActiveIngredientAvailable MaxBlackTarAllowed,4,4:two:2.0:int | 8:1:1.0:int | 11:2:2.0:int | 14:1:1.0:int | 15:10:10.0:int | 20:20:20.0:int | 30:25:25.0:int | 37:2:2.0:int | 38:12:12.0:int | 43:15:15.0:int | 53:18:18.0:int | 61:1:1.0:int | 63:5:5.0:int | 70:2:2.0:int | 72:3:3.0:int | 81:120:120.0:int | 86:100:100.0:int | 94:50:50.0:int,NumDemonstrations TotalMintAvailable TotalActiveIngredientAvailable MaxBlackTarAllowed,,3,1,NumDemonstrations,1.0,0.75,0,0.25,0.75,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_109,nlp4lp_test_109,nlp4lp_test_109,Machine1HeartDeliveryRate Machine1BrainDeliveryRate Machine1WasteRate Machine2HeartDeliveryRate Machine2BrainDeliveryRate Machine2WasteRate HeartMedicineMax BrainMedicineMin,8,7:two:2.0:int | 14:1:1.0:int | 17:2:2.0:int | 19:1:1.0:int | 21:0.5:0.5:float | 31:0.8:0.8:float | 41:2:2.0:int | 43:0.3:0.3:float | 53:1:1.0:int | 66:1:1.0:int | 68:0.3:0.3:float | 76:2:2.0:int | 78:0.5:0.5:float | 87:8:8.0:int | 100:4:4.0:int,Machine1HeartDeliveryRate Machine1BrainDeliveryRate Machine1WasteRate Machine2HeartDeliveryRate Machine2BrainDeliveryRate Machine2WasteRate HeartMedicineMax BrainMedicineMin,,2,6,Machine1HeartDeliveryRate Machine1BrainDeliveryRate Machine1WasteRate Machine2HeartDeliveryRate Machine2BrainDeliveryRate Machine2WasteRate,1.0,0.25,0,0.25,0.375,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_116,nlp4lp_test_116,nlp4lp_test_116,NumNutTypes ServingRatioMultiplier CalorieRequirement ProteinRequirement,4,18:200:200.0:int | 21:20:20.0:int | 30:300:300.0:int | 33:25:25.0:int | 58:15:15.0:int | 68:12:12.0:int | 80:10000:10000.0:int | 83:800:800.0:int,NumNutTypes ServingRatioMultiplier CalorieRequirement ProteinRequirement,,3,1,ServingRatioMultiplier,1.0,0.75,0,0.25,0.25,DUPLICATE_REUSE_REQUIREMENT NUMBER_NOT_EXTRACTED
nlp4lp_test_118,nlp4lp_test_118,nlp4lp_test_118,TimeThroatSwab TimeNasalSwab MinimumNasalSwabs ThroatToNasalRatio TotalOperationalTime,5,16:5:5.0:int | 23:3:3.0:int | 31:30:30.0:int | 43:4:4.0:int | 62:20000:20000.0:int,TimeThroatSwab TimeNasalSwab MinimumNasalSwabs ThroatToNasalRatio TotalOperationalTime,,3,2,ThroatToNasalRatio TotalOperationalTime,1.0,0.6,0,0.2,0.2,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_128,nlp4lp_test_128,nlp4lp_test_128,TimeSpitTest TimeSwabTest MinRatioSpitToSwab MinSwabTests TotalOperatingTime,5,17:10:10.0:int | 25:15:15.0:int | 51:20:20.0:int | 62:8000:8000.0:int,TimeSpitTest TimeSwabTest MinRatioSpitToSwab MinSwabTests,TotalOperatingTime,3,1,MinRatioSpitToSwab,0.8,0.75,0,0.25,0.25,DUPLICATE_REUSE_REQUIREMENT NUMBER_NOT_EXTRACTED
nlp4lp_test_156,nlp4lp_test_156,nlp4lp_test_156,SmallWagonCapacity LargeWagonCapacity MinSmallToLargeRatio MinLargeWagons TotalOre,5,16:20:20.0:int | 25:50:50.0:int | 61:10:10.0:int | 68:2000:2000.0:int,SmallWagonCapacity LargeWagonCapacity MinSmallToLargeRatio MinLargeWagons,TotalOre,3,1,MinSmallToLargeRatio,0.8,0.75,0,0.25,0.25,DUPLICATE_REUSE_REQUIREMENT NUMBER_NOT_EXTRACTED
nlp4lp_test_165,nlp4lp_test_165,nlp4lp_test_165,SmallJarCapacity LargeJarCapacity MinJamVolume MaxLargeJarsRatio,4,17:50:50.0:int | 27:200:200.0:int | 59:100000:100000.0:int,SmallJarCapacity LargeJarCapacity MinJamVolume,MaxLargeJarsRatio,3,0,,0.75,1.0,0,0.3333333333333333,0.3333333333333333,DUPLICATE_REUSE_REQUIREMENT INSUFFICIENT_NUMERIC_MENTIONS
nlp4lp_test_166,nlp4lp_test_166,nlp4lp_test_166,TractorCapacity CarCapacity MinimumCarMultiplier MinimumCornToSend,4,18:40:40.0:int | 27:20:20.0:int | 55:500:500.0:int,TractorCapacity CarCapacity MinimumCarMultiplier,MinimumCornToSend,3,0,,0.75,1.0,0,0.6666666666666666,0.6666666666666666,DUPLICATE_REUSE_REQUIREMENT NUMBER_NOT_EXTRACTED
nlp4lp_test_175,nlp4lp_test_175,nlp4lp_test_175,BrickCapacityCow BrickCapacityElephant MaxElephantsToCowsRatio MaxCowsToElephantsRatio RequiredBricks,5,17:20:20.0:int | 27:50:50.0:int | 72:1000:1000.0:int,BrickCapacityCow BrickCapacityElephant MaxElephantsToCowsRatio,MaxCowsToElephantsRatio RequiredBricks,2,1,MaxElephantsToCowsRatio,0.6,0.6666666666666666,0,0.0,0.0,DUPLICATE_REUSE_REQUIREMENT INSUFFICIENT_NUMERIC_MENTIONS NUMBER_NOT_EXTRACTED
nlp4lp_test_186,nlp4lp_test_186,nlp4lp_test_186,CanoeCapacity DieselBoatCapacity CanoeToBoatRatio MinFish,4,22:10:10.0:int | 32:15:15.0:int | 51:3:3.0:int | 65:1000:1000.0:int,CanoeCapacity DieselBoatCapacity CanoeToBoatRatio MinFish,,3,1,CanoeToBoatRatio,1.0,0.75,0,0.25,0.25,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_195,nlp4lp_test_195,nlp4lp_test_195,CostPlushToy CostDoll InventoryBudget ProfitPlushToy ProfitDoll MinPlushSold MaxPlushSold MaxDollToPlushRatio,8,14:$3:3.0:currency | 21:$2:2.0:currency | 29:$700:700.0:currency | 42:$4:4.0:currency | 52:$2:2.0:currency | 59:90:90.0:int | 65:190:190.0:int,CostPlushToy CostDoll InventoryBudget ProfitPlushToy ProfitDoll MinPlushSold MaxPlushSold,MaxDollToPlushRatio,7,0,,0.875,1.0,1,0.14285714285714285,0.14285714285714285,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_203,nlp4lp_test_203,nlp4lp_test_203,TotalMoney NumBets MaxAverageLossProbability,3,3:$100000:100000.0:currency | 7:two:2.0:int | 35:50%:0.5:percent | 39:25%:0.25:percent | 44:10%:0.1:percent | 60:$1.2:1.2:currency | 64:$0.5:0.5:currency | 69:$0.1:0.1:currency | 89:30%:0.3:percent,TotalMoney NumBets MaxAverageLossProbability,,1,2,NumBets MaxAverageLossProbability,1.0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,INSUFFICIENT_NUMERIC_MENTIONS WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_204,nlp4lp_test_204,nlp4lp_test_204,InspectionTimeWashingMachine FixingTimeWashingMachine InspectionTimeFreezer FixingTimeFreezer TotalInspectionTime TotalScheduleTime EarningsPerWashingMachine EarningsPerFreezer,8,11:30:30.0:int | 16:90:90.0:int | 24:20:20.0:int | 29:125:125.0:int | 37:5000:5000.0:int | 43:20000:20000.0:int | 56:$250:250.0:currency | 63:$375:375.0:currency,InspectionTimeWashingMachine FixingTimeWashingMachine InspectionTimeFreezer FixingTimeFreezer TotalInspectionTime TotalScheduleTime EarningsPerWashingMachine EarningsPerFreezer,,6,2,EarningsPerWashingMachine EarningsPerFreezer,1.0,0.75,0,0.125,0.125,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_215,nlp4lp_test_215,nlp4lp_test_215,CartTransportRate CartWorkersRequired TrolleyTransportRate TrolleyWorkersRequired MinTrolleys MaxTrolleyTransportPercentage DeliveryRate,7,14:5:5.0:int | 20:2:2.0:int | 25:7:7.0:int | 31:4:4.0:int | 38:12:12.0:int | 48:40%:0.4:percent | 65:100:100.0:int,CartTransportRate CartWorkersRequired TrolleyTransportRate TrolleyWorkersRequired MinTrolleys MaxTrolleyTransportPercentage DeliveryRate,,4,3,TrolleyTransportRate MaxTrolleyTransportPercentage DeliveryRate,1.0,0.5714285714285714,0,0.2857142857142857,0.2857142857142857,DUPLICATE_REUSE_REQUIREMENT INSUFFICIENT_NUMERIC_MENTIONS WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_223,nlp4lp_test_223,nlp4lp_test_223,UltrasoundTechnicianShiftHours GraduateResearcherShiftHours UltrasoundTechnicianPayment GraduateResearcherPayment ShiftRatio RequiredUltrasoundServiceHours TotalBudget,7,15:8:8.0:int | 24:5:5.0:int | 32:$300:300.0:currency | 40:$100:100.0:currency | 64:500:500.0:int | 79:$14000:14000.0:currency,UltrasoundTechnicianShiftHours GraduateResearcherShiftHours UltrasoundTechnicianPayment GraduateResearcherPayment ShiftRatio RequiredUltrasoundServiceHours,TotalBudget,3,3,GraduateResearcherPayment ShiftRatio RequiredUltrasoundServiceHours,0.8571428571428571,0.5,0,0.0,0.0,DUPLICATE_REUSE_REQUIREMENT NUMBER_NOT_EXTRACTED WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_244,nlp4lp_test_244,nlp4lp_test_244,AutoElectricProcessingRate AutoElectricElectricityUsage GasPoweredProcessingRate GasPoweredGasUsage MaxAutoElectricJacks MaxElectricityUnits MaxGasUnits,7,"6:two:2.0:int | 14:one,:1.0:int | 18:one.:1.0:int | 22:one:1.0:int | 25:5:5.0:int | 31:6:6.0:int | 38:one:1.0:int | 41:4:4.0:int | 46:7:7.0:int | 78:15:15.0:int | 88:50:50.0:int | 93:80:80.0:int",AutoElectricProcessingRate AutoElectricElectricityUsage GasPoweredProcessingRate GasPoweredGasUsage MaxAutoElectricJacks MaxElectricityUnits MaxGasUnits,,5,2,AutoElectricProcessingRate GasPoweredProcessingRate,1.0,0.7142857142857143,0,0.42857142857142855,0.42857142857142855,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_245,nlp4lp_test_245,nlp4lp_test_245,TrainCapacity TramCapacity MinTramsToTrainsRatio MinPeoplePerHour,4,13:two:2.0:int | 24:120:120.0:int | 34:30:30.0:int | 67:600:600.0:int,TrainCapacity TramCapacity MinTramsToTrainsRatio MinPeoplePerHour,,3,1,MinTramsToTrainsRatio,1.0,0.75,0,0.0,0.0,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_253,nlp4lp_test_253,nlp4lp_test_253,SpecializedAnnotRate CommonAnnotRate SpecializedCostPerHour CommonCostPerHour MinTotalImages MinSpecializedFraction,6,"7:two:2.0:int | 27:60:60.0:int | 41:40:40.0:int | 50:$100:100.0:currency | 58:$72:72.0:currency | 75:10,000:10000.0:int | 113:two:2.0:currency",SpecializedAnnotRate CommonAnnotRate SpecializedCostPerHour CommonCostPerHour MinTotalImages MinSpecializedFraction,,4,2,CommonAnnotRate MinSpecializedFraction,1.0,0.6666666666666666,0,0.16666666666666666,0.3333333333333333,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_260,nlp4lp_test_260,nlp4lp_test_260,NorthernFactoryAntiItchRate NorthernFactoryTopicalCreamRate WesternFactoryAntiItchRate WesternFactoryTopicalCreamRate NorthernFactoryPlasticUsage WesternFactoryPlasticUsage TotalPlasticAvailable MinimumAntiItchProduction MinimumTopicalCreamProduction,9,"4:two:2.0:int | 28:800:800.0:int | 34:700:700.0:int | 45:650:650.0:int | 51:750:750.0:int | 60:40:40.0:int | 71:35:35.0:int | 84:60,000:60000.0:int | 94:800,000:800000.0:int | 100:700,000:700000.0:int",NorthernFactoryAntiItchRate NorthernFactoryTopicalCreamRate WesternFactoryAntiItchRate WesternFactoryTopicalCreamRate NorthernFactoryPlasticUsage WesternFactoryPlasticUsage TotalPlasticAvailable MinimumAntiItchProduction MinimumTopicalCreamProduction,,5,4,NorthernFactoryAntiItchRate NorthernFactoryTopicalCreamRate WesternFactoryAntiItchRate WesternFactoryTopicalCreamRate,1.0,0.5555555555555556,0,0.0,0.3333333333333333,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_261,nlp4lp_test_261,nlp4lp_test_261,PreparationTimeMedicationPatch PreparationTimeAntiBioticCream MaterialRequiredMedicationPatch MaterialRequiredAntiBioticCream MinRatioAntiBioticCreamToMedicationPatch MaxTotalBatches AvailableStaffTime AvailableMaterials TreatmentPerBatchMedicationPatch TreatmentPerBatchAntiBioticCream,10,14:3:3.0:int | 19:5:5.0:int | 27:5:5.0:int | 32:6:6.0:int | 66:100:100.0:int | 80:400:400.0:int | 87:530:530.0:int | 99:3:3.0:int | 109:2:2.0:int,PreparationTimeMedicationPatch PreparationTimeAntiBioticCream MaterialRequiredMedicationPatch MaterialRequiredAntiBioticCream MinRatioAntiBioticCreamToMedicationPatch MaxTotalBatches AvailableStaffTime AvailableMaterials TreatmentPerBatchMedicationPatch,TreatmentPerBatchAntiBioticCream,6,3,PreparationTimeMedicationPatch PreparationTimeAntiBioticCream MinRatioAntiBioticCreamToMedicationPatch,0.9,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_282,nlp4lp_test_282,nlp4lp_test_282,N TransactionRate TaxRate K,4,32:one:1.0:currency | 47:one:1.0:currency | 53:one:1.0:currency | 120:0:0.0:int | 122:100:100.0:int | 163:1:1.0:int | 171:1:1.0:int | 179:1:1.0:int | 187:1:1.0:int | 259:1:1.0:int,N TransactionRate TaxRate K,,2,2,TransactionRate TaxRate,1.0,0.5,0,0.25,0.25,SCHEMA_SLOT_REPRESENTATION_MISMATCH WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_284,nlp4lp_test_284,nlp4lp_test_284,I M SellPrice MaxVegRefiningPerMonth MaxNonVegRefiningPerMonth StorageSize StorageCost MaxHardness MinHardness InitialAmount MinUsage,11,289:three:3.0:int | 329:1:1.0:int,I M,SellPrice MaxVegRefiningPerMonth MaxNonVegRefiningPerMonth StorageSize StorageCost MaxHardness MinHardness InitialAmount MinUsage,2,0,,0.18181818181818182,1.0,0,0.5,0.5,DUPLICATE_REUSE_REQUIREMENT SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_285,nlp4lp_test_285,nlp4lp_test_285,NumProducts NumMachinesTypes NumPeriods StorePrice KeepQuantity NumWorkHours,6,123:100:100.0:int | 169:six:6.0:int | 194:24:24.0:int,NumProducts NumMachinesTypes NumPeriods,StorePrice KeepQuantity NumWorkHours,3,0,,0.5,1.0,0,0.0,0.0,DUPLICATE_REUSE_REQUIREMENT SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_289,nlp4lp_test_289,nlp4lp_test_289,K MaxWork NumYears Price Discount,5,39:one:1.0:int | 184:two:2.0:int,K MaxWork NumYears,Price Discount,2,1,NumYears,0.6,0.6666666666666666,0,0.0,0.0,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_293,nlp4lp_test_293,nlp4lp_test_293,,0,17:one:1.0:int | 80:1:1.0:int | 159:2:2.0:int | 175:0:0.0:int | 211:0:0.0:int | 275:five:5.0:int,,,0,0,,0.0,0.0,0,,,
nlp4lp_test_294,nlp4lp_test_294,nlp4lp_test_294,K L,2,101:three:3.0:int,K,L,1,0,,0.5,1.0,0,1.0,1.0,DUPLICATE_REUSE_REQUIREMENT SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_295,nlp4lp_test_295,nlp4lp_test_295,K,1,,,K,0,0,,0.0,0.0,0,,,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_296,nlp4lp_test_296,nlp4lp_test_296,NumObs,1,,,NumObs,0,0,,0.0,0.0,0,,,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_297,nlp4lp_test_297,nlp4lp_test_297,K,1,,,K,0,0,,0.0,0.0,0,,,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_298,nlp4lp_test_298,nlp4lp_test_298,T K,2,,,T K,0,0,,0.0,0.0,0,,,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_300,nlp4lp_test_300,nlp4lp_test_300,C NumItems,2,28:one:1.0:int,C,NumItems,1,0,,0.5,1.0,0,0.0,0.0,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_301,nlp4lp_test_301,nlp4lp_test_301,K M,2,,,K M,0,0,,0.0,0.0,0,,,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_302,nlp4lp_test_302,nlp4lp_test_302,Capacity HoldingCost NumPeriods,3,57:one:1.0:currency,Capacity,HoldingCost NumPeriods,1,0,,0.3333333333333333,1.0,0,0.0,0.0,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_303,nlp4lp_test_303,nlp4lp_test_303,AlloyQuantity NumMetals NumAlloys,3,83:0:0.0:int | 85:1.0:1.0:int,AlloyQuantity NumMetals,NumAlloys,2,0,,0.6666666666666666,1.0,0,0.0,0.0,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_304,nlp4lp_test_304,nlp4lp_test_304,K S,2,,,K S,0,0,,0.0,0.0,0,,,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_305,nlp4lp_test_305,nlp4lp_test_305,MaxRegularAmount CostRegular CostOvertime StoreCost NumMonths,5,,,MaxRegularAmount CostRegular CostOvertime StoreCost NumMonths,0,0,,0.0,0.0,0,,,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_306,nlp4lp_test_306,nlp4lp_test_306,WorkingDays RestingDays Days,3,,,WorkingDays RestingDays Days,0,0,,0.0,0.0,0,,,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_307,nlp4lp_test_307,nlp4lp_test_307,SteelQuantity ManganesePercent SiliconMinPercent SiliconMaxPercent NumMinerals ManganesePrice SellingPrice MeltingPrice,8,104:million:1000000.0:currency | 116:million:1000000.0:int | 119:thousand:1000.0:int | 135:million:1000000.0:currency | 150:million:1000000.0:int,SteelQuantity ManganesePercent SiliconMinPercent SiliconMaxPercent NumMinerals,ManganesePrice SellingPrice MeltingPrice,2,3,ManganesePercent SiliconMinPercent SiliconMaxPercent,0.625,0.4,0,0.0,0.0,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_308,nlp4lp_test_308,nlp4lp_test_308,Capacity NumFiles,2,,,Capacity NumFiles,0,0,,0.0,0.0,0,,,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_309,nlp4lp_test_309,nlp4lp_test_309,I J Price,3,54:two:2.0:currency,I,J Price,1,0,,0.3333333333333333,1.0,0,0.0,0.0,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_320,nlp4lp_test_320,nlp4lp_test_320,NumTerminals NumDestinations,2,184:1:1.0:int,NumTerminals,NumDestinations,1,0,,0.5,1.0,0,0.0,0.0,SCHEMA_SLOT_REPRESENTATION_MISMATCH
