problem_id,slot,expected_type,gold_value,selected_raw,selected_value,selected_kind,selected_type_match,gold_extracted_initial,gold_available_at_slot,compatible_available_at_slot,candidates_initial,candidates_before_slot,root_cause
nlp4lp_test_204,EarningsPerFreezer,float,375.0,$250,250.0,currency,0,1,0,0,8,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_215,CartTransportRate,percent,5.0,40%,0.4,percent,1,1,1,1,7,7,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_215,CartWorkersRequired,int,2.0,100,100.0,int,1,1,1,1,7,6,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_215,TrolleyTransportRate,percent,7.0,12,12.0,int,0,1,1,0,7,5,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_215,TrolleyWorkersRequired,int,4.0,7,7.0,int,1,1,1,1,7,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_215,MinTrolleys,float,12.0,5,5.0,int,1,1,0,1,7,3,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_215,MaxTrolleyTransportPercentage,percent,40.0,4,4.0,int,0,0,0,0,7,2,INSUFFICIENT_NUMERIC_MENTIONS
nlp4lp_test_215,DeliveryRate,percent,100.0,2,2.0,int,0,1,0,0,7,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_223,UltrasoundTechnicianShiftHours,float,8.0,500,500.0,int,1,1,1,1,6,6,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_223,GraduateResearcherShiftHours,float,5.0,8,8.0,int,1,1,1,1,6,5,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_223,UltrasoundTechnicianPayment,float,300.0,5,5.0,int,1,1,1,1,6,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_223,GraduateResearcherPayment,float,100.0,$14000,14000.0,currency,0,1,1,0,6,3,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_223,ShiftRatio,percent,2.0,$300,300.0,currency,0,0,0,0,6,2,NUMBER_NOT_EXTRACTED
nlp4lp_test_223,RequiredUltrasoundServiceHours,float,500.0,$100,100.0,currency,0,1,0,0,6,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_223,TotalBudget,currency,14000.0,,,,0,1,0,0,6,0,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_244,AutoElectricProcessingRate,percent,5.0,one.,1.0,int,0,1,1,0,12,12,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_244,AutoElectricElectricityUsage,float,6.0,80,80.0,int,1,1,1,1,12,11,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_244,GasPoweredProcessingRate,percent,4.0,"one,",1.0,int,0,1,1,0,12,10,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_244,GasPoweredGasUsage,float,7.0,50,50.0,int,1,1,1,1,12,9,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_244,MaxAutoElectricJacks,float,15.0,15,15.0,int,1,1,1,1,12,8,OTHER
nlp4lp_test_244,MaxElectricityUnits,float,50.0,7,7.0,int,1,1,0,1,12,7,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_244,MaxGasUnits,float,80.0,6,6.0,int,1,1,0,1,12,6,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_245,TrainCapacity,float,120.0,600,600.0,int,1,1,1,1,4,4,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_245,TramCapacity,float,30.0,120,120.0,int,1,1,1,1,4,3,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_245,MinTramsToTrainsRatio,percent,2.0,30,30.0,int,0,1,1,0,4,2,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_245,MinPeoplePerHour,float,600.0,two,2.0,int,1,1,0,1,4,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_253,SpecializedAnnotRate,percent,60.0,third,0.3333333333333333,percent,1,1,1,1,8,8,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_253,CommonAnnotRate,percent,40.0,"10,000",10000.0,int,0,1,1,0,8,7,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_253,SpecializedCostPerHour,currency,100.0,$100,100.0,currency,1,1,1,1,8,6,OTHER
nlp4lp_test_253,CommonCostPerHour,currency,72.0,$72,72.0,currency,1,1,1,1,8,5,OTHER
nlp4lp_test_253,MinTotalImages,float,10000.0,60,60.0,int,1,1,0,1,8,4,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_253,MinSpecializedFraction,percent,0.3333333333333333,40,40.0,int,0,1,0,0,8,3,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_260,NorthernFactoryAntiItchRate,percent,800.0,"800,000",800000.0,int,0,1,1,0,10,10,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_260,NorthernFactoryTopicalCreamRate,percent,700.0,"700,000",700000.0,int,0,1,1,0,10,9,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_260,WesternFactoryAntiItchRate,percent,650.0,"60,000",60000.0,int,0,1,1,0,10,8,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_260,WesternFactoryTopicalCreamRate,percent,750.0,800,800.0,int,0,1,1,0,10,7,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_260,NorthernFactoryPlasticUsage,float,40.0,750,750.0,int,1,1,1,1,10,6,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_260,WesternFactoryPlasticUsage,float,35.0,700,700.0,int,1,1,1,1,10,5,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_260,TotalPlasticAvailable,float,60000.0,650,650.0,int,1,1,0,1,10,4,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_260,MinimumAntiItchProduction,float,800000.0,40,40.0,int,1,1,0,1,10,3,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_260,MinimumTopicalCreamProduction,float,700000.0,35,35.0,int,1,1,0,1,10,2,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_261,PreparationTimeMedicationPatch,percent,3.0,530,530.0,int,0,1,1,0,9,9,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_261,PreparationTimeAntiBioticCream,percent,5.0,400,400.0,int,0,1,1,0,9,8,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_261,MaterialRequiredMedicationPatch,float,5.0,100,100.0,int,1,1,1,1,9,7,OTHER_WRONG_VALUE_READY_NEUTRAL
nlp4lp_test_261,MaterialRequiredAntiBioticCream,float,6.0,6,6.0,int,1,1,1,1,9,6,OTHER
nlp4lp_test_261,MinRatioAntiBioticCreamToMedicationPatch,percent,2.0,5,5.0,int,0,1,1,0,9,5,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_261,MaxTotalBatches,int,100.0,5,5.0,int,1,1,0,1,9,4,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_261,AvailableStaffTime,float,400.0,3,3.0,int,1,1,0,1,9,3,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_261,AvailableMaterials,float,530.0,3,3.0,int,1,1,0,1,9,2,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_261,TreatmentPerBatchMedicationPatch,float,3.0,2,2.0,int,1,1,0,1,9,1,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_261,TreatmentPerBatchAntiBioticCream,float,2.0,,,,0,1,0,0,9,0,DUPLICATE_REUSE_REQUIREMENT
nlp4lp_test_282,N,float,3.0,100,100.0,int,1,0,0,1,10,10,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_282,TransactionRate,percent,1.0,one,1.0,currency,0,1,1,0,10,9,WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_282,TaxRate,percent,15.0,one,1.0,currency,0,0,0,0,10,8,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_282,K,float,5000.0,one,1.0,int,1,0,0,1,10,7,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_284,I,float,5.0,three,3.0,int,1,0,0,1,2,2,SCHEMA_SLOT_REPRESENTATION_MISMATCH
nlp4lp_test_284,M,float,5.0,1,1.0,int,1,0,0,1,2,1,SCHEMA_SLOT_REPRESENTATION_MISMATCH
