problem_id,schema_hit,baseline_strict,ratio_word_prototype_strict,transition,ratio_word_tokens_added
nlp4lp_test_226,1,1,1,same,0
nlp4lp_test_227,1,1,1,same,1
nlp4lp_test_228,1,1,1,same,0
nlp4lp_test_229,1,1,1,same,1
nlp4lp_test_230,1,1,1,same,0
nlp4lp_test_231,1,1,1,same,0
nlp4lp_test_232,1,1,1,same,0
nlp4lp_test_233,1,1,1,same,0
nlp4lp_test_234,0,0,0,same,0
nlp4lp_test_235,1,1,1,same,0
nlp4lp_test_236,1,1,1,same,1
nlp4lp_test_237,1,1,1,same,0
nlp4lp_test_238,1,1,1,same,0
nlp4lp_test_239,1,1,1,same,1
nlp4lp_test_240,1,1,1,same,0
nlp4lp_test_241,1,1,1,same,0
nlp4lp_test_242,1,1,1,same,1
nlp4lp_test_243,1,1,1,same,1
nlp4lp_test_244,1,0,0,same,0
nlp4lp_test_245,1,0,1,gain,1
nlp4lp_test_246,0,0,0,same,0
nlp4lp_test_247,0,0,0,same,0
nlp4lp_test_248,1,1,1,same,1
nlp4lp_test_249,1,1,1,same,0
nlp4lp_test_250,1,1,1,same,0
nlp4lp_test_251,1,1,1,same,0
nlp4lp_test_252,1,1,1,same,1
nlp4lp_test_253,1,0,0,same,0
nlp4lp_test_254,1,1,1,same,0
nlp4lp_test_255,1,1,1,same,0
nlp4lp_test_256,1,1,1,same,1
nlp4lp_test_257,1,1,1,same,0
nlp4lp_test_258,1,1,1,same,0
nlp4lp_test_259,1,1,1,same,0
nlp4lp_test_260,1,0,0,same,0
nlp4lp_test_261,1,0,1,gain,1
nlp4lp_test_262,1,1,1,same,0
nlp4lp_test_263,1,1,1,same,0
nlp4lp_test_264,1,1,1,same,0
nlp4lp_test_265,1,1,1,same,0
nlp4lp_test_266,1,1,1,same,0
nlp4lp_test_267,1,1,1,same,0
nlp4lp_test_268,0,0,0,same,0
nlp4lp_test_269,1,1,1,same,0
nlp4lp_test_270,1,1,1,same,0
nlp4lp_test_271,1,1,1,same,0
nlp4lp_test_272,1,1,1,same,0
nlp4lp_test_273,1,1,1,same,0
nlp4lp_test_274,1,1,1,same,0
nlp4lp_test_275,1,1,1,same,0
nlp4lp_test_276,1,1,1,same,0
nlp4lp_test_277,1,1,1,same,0
nlp4lp_test_278,1,1,1,same,0
nlp4lp_test_279,1,1,1,same,0
nlp4lp_test_280,1,1,1,same,0
nlp4lp_test_281,1,1,1,same,0
nlp4lp_test_282,1,0,0,same,0
nlp4lp_test_283,0,0,0,same,0
nlp4lp_test_284,1,0,0,same,0
nlp4lp_test_285,1,0,0,same,0
nlp4lp_test_286,0,0,0,same,0
nlp4lp_test_287,0,0,0,same,0
nlp4lp_test_288,0,0,0,same,0
nlp4lp_test_289,1,0,0,same,0
nlp4lp_test_290,0,0,0,same,0
nlp4lp_test_291,0,0,0,same,0
nlp4lp_test_292,0,0,0,same,0
nlp4lp_test_293,1,0,0,same,0
nlp4lp_test_294,1,0,0,same,0
nlp4lp_test_295,1,0,0,same,0
nlp4lp_test_296,1,0,0,same,0
nlp4lp_test_297,1,0,0,same,0
nlp4lp_test_298,1,0,0,same,0
nlp4lp_test_299,0,0,0,same,0
nlp4lp_test_300,1,0,0,same,0
nlp4lp_test_301,1,0,0,same,0
nlp4lp_test_302,1,0,0,same,0
nlp4lp_test_303,1,0,0,same,0
nlp4lp_test_304,1,0,0,same,0
nlp4lp_test_305,1,0,0,same,0
nlp4lp_test_306,1,0,0,same,0
nlp4lp_test_307,1,0,0,same,0
nlp4lp_test_308,1,0,0,same,0
nlp4lp_test_309,1,0,0,same,0
nlp4lp_test_310,1,1,1,same,0
nlp4lp_test_311,0,0,0,same,0
nlp4lp_test_312,1,1,1,same,0
nlp4lp_test_313,1,1,1,same,0
nlp4lp_test_314,1,1,1,same,0
nlp4lp_test_315,1,1,1,same,0
nlp4lp_test_316,0,0,0,same,0
nlp4lp_test_317,0,0,0,same,0
nlp4lp_test_318,0,0,0,same,0
nlp4lp_test_319,1,1,1,same,0
nlp4lp_test_320,1,0,0,same,0
nlp4lp_test_321,1,1,1,same,0
nlp4lp_test_322,0,0,0,same,0
nlp4lp_test_323,1,1,1,same,0
nlp4lp_test_324,1,0,0,same,0
nlp4lp_test_325,1,1,1,same,0
nlp4lp_test_326,1,1,1,same,0
nlp4lp_test_327,1,1,1,same,0
nlp4lp_test_328,1,1,1,same,0
nlp4lp_test_329,1,1,1,same,0
nlp4lp_test_330,1,1,1,same,0
